length of strings, compression ratio of s1, compression ratio of s2 , joint compression , Mutual compression crossed2(s1:s1), Mutual compression crossed2(s2:s2), Mutual compression crossed2(s1:s2), Mutual compression crossed2(s2:s1), s1, s2 
10,1.7,1.4,1.65,1.9,1.8,1.9,2.2,1111000001,0101100101
19,1.5263157894736843,1.3157894736842106,1.6842105263157894,1.4736842105263157,1.6842105263157894,1.7894736842105263,1.6842105263157894,1111000001000010010,0101100101110001101
28,1.6071428571428572,1.4642857142857142,1.6785714285714286,1.3571428571428572,1.6785714285714286,1.5357142857142858,1.6785714285714286,1111000001000010010001100101,0101100101110001101101111011
37,1.5945945945945945,1.4324324324324325,1.6081081081081081,1.3513513513513513,1.4864864864864864,1.6216216216216217,1.6216216216216217,1111000001000010010001100101011100010,0101100101110001101101111011010111111
46,1.608695652173913,1.5,1.5978260869565217,1.4130434782608696,1.4130434782608696,1.565217391304348,1.5217391304347827,1111000001000010010001100101011100010011011111,0101100101110001101101111011010111111101100010
55,1.6181818181818182,1.5272727272727273,1.5545454545454545,1.4727272727272727,1.5636363636363637,1.4727272727272727,1.5636363636363637,1111000001000010010001100101011100010011011111011001010,0101100101110001101101111011010111111101100010000110010
64,1.546875,1.546875,1.5234375,1.484375,1.390625,1.484375,1.578125,1111000001000010010001100101011100010011011111011001010010000101,0101100101110001101101111011010111111101100010000110010110010111
73,1.5616438356164384,1.4931506849315068,1.5,1.4246575342465753,1.4109589041095891,1.5068493150684932,1.4931506849315068,1111000001000010010001100101011100010011011111011001010010000101010001000,0101100101110001101101111011010111111101100010000110010110010111001010111
82,1.451219512195122,1.5121951219512195,1.4817073170731707,1.4268292682926829,1.3658536585365855,1.5,1.4390243902439024,1111000001000010010001100101011100010011011111011001010010000101010001000111001000,0101100101110001101101111011010111111101100010000110010110010111001010111100110110
91,1.4725274725274726,1.5494505494505495,1.467032967032967,1.4505494505494505,1.3846153846153846,1.5164835164835164,1.4505494505494505,1111000001000010010001100101011100010011011111011001010010000101010001000111001000010100011,0101100101110001101101111011010111111101100010000110010110010111001010111100110110100100010
100,1.47,1.53,1.425,1.32,1.38,1.44,1.44,1111000001000010010001100101011100010011011111011001010010000101010001000111001000010100011010010110,0101100101110001101101111011010111111101100010000110010110010111001010111100110110100100010100100110
109,1.4587155963302751,1.5137614678899083,1.4174311926605505,1.3211009174311927,1.3761467889908257,1.4311926605504588,1.3761467889908257,1111000001000010010001100101011100010011011111011001010010000101010001000111001000010100011010010110010000111,0101100101110001101101111011010111111101100010000110010110010111001010111100110110100100010100100110111010001
118,1.5,1.5,1.4194915254237288,1.271186440677966,1.3220338983050848,1.3220338983050848,1.4491525423728813,1111000001000010010001100101011100010011011111011001010010000101010001000111001000010100011010010110010000111101100000,0101100101110001101101111011010111111101100010000110010110010111001010111100110110100100010100100110111010001010010000
127,1.4881889763779528,1.4881889763779528,1.4015748031496063,1.3070866141732282,1.3622047244094488,1.3622047244094488,1.4173228346456692,1111000001000010010001100101011100010011011111011001010010000101010001000111001000010100011010010110010000111101100000000100100,0101100101110001101101111011010111111101100010000110010110010111001010111100110110100100010100100110111010001010010000011011001
136,1.4779411764705883,1.4779411764705883,1.3860294117647058,1.286764705882353,1.338235294117647,1.338235294117647,1.3897058823529411,1111000001000010010001100101011100010011011111011001010010000101010001000111001000010100011010010110010000111101100000000100100001000101,0101100101110001101101111011010111111101100010000110010110010111001010111100110110100100010100100110111010001010010000011011001010100111
145,1.4689655172413794,1.4689655172413794,1.4206896551724137,1.3655172413793104,1.3655172413793104,1.3655172413793104,1.3655172413793104,1111000001000010010001100101011100010011011111011001010010000101010001000111001000010100011010010110010000111101100000000100100001000101111000011,0101100101110001101101111011010111111101100010000110010110010111001010111100110110100100010100100110111010001010010000011011001010100111111100111
154,1.4610389610389611,1.4610389610389611,1.3831168831168832,1.3896103896103895,1.344155844155844,1.3896103896103895,1.3896103896103895,1111000001000010010001100101011100010011011111011001010010000101010001000111001000010100011010010110010000111101100000000100100001000101111000011101110000,0101100101110001101101111011010111111101100010000110010110010111001010111100110110100100010100100110111010001010010000011011001010100111111100111001001111
163,1.4539877300613497,1.49079754601227,1.4141104294478528,1.3680981595092025,1.3742331288343559,1.3680981595092025,1.3742331288343559,1111000001000010010001100101011100010011011111011001010010000101010001000111001000010100011010010110010000111101100000000100100001000101111000011101110000000110100,0101100101110001101101111011010111111101100010000110010110010111001010111100110110100100010100100110111010001010010000011011001010100111111100111001001111100110100
172,1.447674418604651,1.4825581395348837,1.4011627906976745,1.308139534883721,1.3953488372093024,1.3895348837209303,1.3953488372093024,1111000001000010010001100101011100010011011111011001010010000101010001000111001000010100011010010110010000111101100000000100100001000101111000011101110000000110100111001000,0101100101110001101101111011010111111101100010000110010110010111001010111100110110100100010100100110111010001010010000011011001010100111111100111001001111100110100010000111
181,1.4751381215469612,1.4751381215469612,1.4281767955801106,1.3370165745856353,1.3370165745856353,1.3370165745856353,1.4143646408839778,1111000001000010010001100101011100010011011111011001010010000101010001000111001000010100011010010110010000111101100000000100100001000101111000011101110000000110100111001000110100111,0101100101110001101101111011010111111101100010000110010110010111001010111100110110100100010100100110111010001010010000011011001010100111111100111001001111100110100010000111101100111
190,1.4684210526315788,1.436842105263158,1.3973684210526316,1.3210526315789475,1.3526315789473684,1.394736842105263,1.3894736842105264,1111000001000010010001100101011100010011011111011001010010000101010001000111001000010100011010010110010000111101100000000100100001000101111000011101110000000110100111001000110100111100010010,0101100101110001101101111011010111111101100010000110010110010111001010111100110110100100010100100110111010001010010000011011001010100111111100111001001111100110100010000111101100111010010100
199,1.4623115577889447,1.4321608040201006,1.3869346733668342,1.3417085427135678,1.3718592964824121,1.3768844221105527,1.3366834170854272,1111000001000010010001100101011100010011011111011001010010000101010001000111001000010100011010010110010000111101100000000100100001000101111000011101110000000110100111001000110100111100010010100011101,0101100101110001101101111011010111111101100010000110010110010111001010111100110110100100010100100110111010001010010000011011001010100111111100111001001111100110100010000111101100111010010100000011010
208,1.4567307692307692,1.4278846153846154,1.3774038461538463,1.3605769230769231,1.3557692307692308,1.3605769230769231,1.3557692307692308,1111000001000010010001100101011100010011011111011001010010000101010001000111001000010100011010010110010000111101100000000100100001000101111000011101110000000110100111001000110100111100010010100011101011011010,0101100101110001101101111011010111111101100010000110010110010111001010111100110110100100010100100110111010001010010000011011001010100111111100111001001111100110100010000111101100111010010100000011010111101001
217,1.4516129032258065,1.423963133640553,1.400921658986175,1.3778801843317972,1.3410138248847927,1.3778801843317972,1.3410138248847927,1111000001000010010001100101011100010011011111011001010010000101010001000111001000010100011010010110010000111101100000000100100001000101111000011101110000000110100111001000110100111100010010100011101011011010001110000,0101100101110001101101111011010111111101100010000110010110010111001010111100110110100100010100100110111010001010010000011011001010100111111100111001001111100110100010000111101100111010010100000011010111101001000101011
226,1.420353982300885,1.420353982300885,1.407079646017699,1.3584070796460177,1.3584070796460177,1.3893805309734513,1.3584070796460177,1111000001000010010001100101011100010011011111011001010010000101010001000111001000010100011010010110010000111101100000000100100001000101111000011101110000000110100111001000110100111100010010100011101011011010001110000001100100,0101100101110001101101111011010111111101100010000110010110010111001010111100110110100100010100100110111010001010010000011011001010100111111100111001001111100110100010000111101100111010010100000011010111101001000101011100110101
235,1.425531914893617,1.425531914893617,1.397872340425532,1.3106382978723403,1.3702127659574468,1.3702127659574468,1.3106382978723403,1111000001000010010001100101011100010011011111011001010010000101010001000111001000010100011010010110010000111101100000000100100001000101111000011101110000000110100111001000110100111100010010100011101011011010001110000001100100100010000,0101100101110001101101111011010111111101100010000110010110010111001010111100110110100100010100100110111010001010010000011011001010100111111100111001001111100110100010000111101100111010010100000011010111101001000101011100110101010101110
244,1.430327868852459,1.430327868852459,1.389344262295082,1.290983606557377,1.3770491803278688,1.3770491803278688,1.348360655737705,1111000001000010010001100101011100010011011111011001010010000101010001000111001000010100011010010110010000111101100000000100100001000101111000011101110000000110100111001000110100111100010010100011101011011010001110000001100100100010000100000011,0101100101110001101101111011010111111101100010000110010110010111001010111100110110100100010100100110111010001010010000011011001010100111111100111001001111100110100010000111101100111010010100000011010111101001000101011100110101010101110001000010
