length of strings, compression ratio of s1, compression ratio of s2 , joint compression , Mutual compression crossed(s1:s1), Mutual compression crossed(s2:s2), Mutual compression crossed(s1:s2), Mutual compression crossed(s1:s2), s1, s2 
10,1.4,1.7,1.65,2.8,3.7,3.7,3.7,1111111011,0000100111
19,1.5263157894736843,1.736842105263158,1.5526315789473684,2.526315789473684,3.0526315789473686,3.0526315789473686,3.0526315789473686,1111111011110111010,0000100111110110110
28,1.6071428571428572,1.75,1.5892857142857142,3.0714285714285716,3.107142857142857,3.107142857142857,3.107142857142857,1111111011110111010000000001,0000100111110110110001100111
37,1.5945945945945945,1.7297297297297298,1.472972972972973,2.972972972972973,3.108108108108108,3.108108108108108,3.108108108108108,1111111011110111010000000001100001101,0000100111110110110001100111111010100
46,1.5,1.608695652173913,1.5326086956521738,3.0434782608695654,2.9347826086956523,2.9347826086956523,2.9347826086956523,1111111011110111010000000001100001101010100000,0000100111110110110001100111111010100101111100
55,1.5272727272727273,1.6181818181818182,1.5545454545454545,2.909090909090909,3.036363636363636,3.036363636363636,3.036363636363636,1111111011110111010000000001100001101010100000001100111,0000100111110110110001100111111010100101111100100111111
64,1.546875,1.546875,1.4765625,2.96875,3.0625,3.0625,3.0625,1111111011110111010000000001100001101010100000001100111100010101,0000100111110110110001100111111010100101111100100111111001001100
73,1.5616438356164384,1.4931506849315068,1.4589041095890412,2.8493150684931505,3.0,3.0,3.0,1111111011110111010000000001100001101010100000001100111100010101101000010,0000100111110110110001100111111010100101111100100111111001001100111101100
82,1.5121951219512195,1.5121951219512195,1.4451219512195121,3.024390243902439,2.951219512195122,2.951219512195122,2.951219512195122,1111111011110111010000000001100001101010100000001100111100010101101000010010000110,0000100111110110110001100111111010100101111100100111111001001100111101100000101000
91,1.4725274725274726,1.4725274725274726,1.467032967032967,2.769230769230769,2.8351648351648353,2.8351648351648353,2.8351648351648353,1111111011110111010000000001100001101010100000001100111100010101101000010010000110100111001,0000100111110110110001100111111010100101111100100111111001001100111101100000101000111111010
100,1.47,1.53,1.455,2.88,2.82,2.82,2.82,1111111011110111010000000001100001101010100000001100111100010101101000010010000110100111001011110001,0000100111110110110001100111111010100101111100100111111001001100111101100000101000111111010100110000
109,1.4587155963302751,1.5137614678899083,1.444954128440367,2.7522935779816513,2.8073394495412844,2.8073394495412844,2.8073394495412844,1111111011110111010000000001100001101010100000001100111100010101101000010010000110100111001011110001010100011,0000100111110110110001100111111010100101111100100111111001001100111101100000101000111111010100110000011000111
118,1.4491525423728813,1.5,1.3855932203389831,2.8813559322033897,2.830508474576271,2.830508474576271,2.830508474576271,1111111011110111010000000001100001101010100000001100111100010101101000010010000110100111001011110001010100011001011100,0000100111110110110001100111111010100101111100100111111001001100111101100000101000111111010100110000011000111101011001
127,1.4409448818897639,1.5354330708661417,1.374015748031496,2.8188976377952755,2.779527559055118,2.779527559055118,2.779527559055118,1111111011110111010000000001100001101010100000001100111100010101101000010010000110100111001011110001010100011001011100101100100,0000100111110110110001100111111010100101111100100111111001001100111101100000101000111111010100110000011000111101011001010010010
136,1.4779411764705883,1.5220588235294117,1.411764705882353,2.7794117647058822,2.786764705882353,2.786764705882353,2.786764705882353,1111111011110111010000000001100001101010100000001100111100010101101000010010000110100111001011110001010100011001011100101100100010011010,0000100111110110110001100111111010100101111100100111111001001100111101100000101000111111010100110000011000111101011001010010010111010001
145,1.4275862068965517,1.5103448275862068,1.396551724137931,2.8137931034482757,2.8275862068965516,2.8275862068965516,2.8275862068965516,1111111011110111010000000001100001101010100000001100111100010101101000010010000110100111001011110001010100011001011100101100100010011010100011001,0000100111110110110001100111111010100101111100100111111001001100111101100000101000111111010100110000011000111101011001010010010111010001001101010
154,1.422077922077922,1.5,1.4285714285714286,2.675324675324675,2.7337662337662336,2.7337662337662336,2.7337662337662336,1111111011110111010000000001100001101010100000001100111100010101101000010010000110100111001011110001010100011001011100101100100010011010100011001010100101,0000100111110110110001100111111010100101111100100111111001001100111101100000101000111111010100110000011000111101011001010010010111010001001101010010110011
163,1.4171779141104295,1.49079754601227,1.4141104294478528,2.723926380368098,2.7791411042944785,2.7791411042944785,2.7791411042944785,1111111011110111010000000001100001101010100000001100111100010101101000010010000110100111001011110001010100011001011100101100100010011010100011001010100101001001100,0000100111110110110001100111111010100101111100100111111001001100111101100000101000111111010100110000011000111101011001010010010111010001001101010010110011000000111
172,1.4127906976744187,1.4825581395348837,1.380813953488372,2.7674418604651163,2.8197674418604652,2.8197674418604652,2.8197674418604652,1111111011110111010000000001100001101010100000001100111100010101101000010010000110100111001011110001010100011001011100101100100010011010100011001010100101001001100100000010,0000100111110110110001100111111010100101111100100111111001001100111101100000101000111111010100110000011000111101011001010010010111010001001101010010110011000000111000110001
181,1.3756906077348066,1.4751381215469612,1.3701657458563536,2.718232044198895,2.773480662983425,2.773480662983425,2.773480662983425,1111111011110111010000000001100001101010100000001100111100010101101000010010000110100111001011110001010100011001011100101100100010011010100011001010100101001001100100000010010001010,0000100111110110110001100111111010100101111100100111111001001100111101100000101000111111010100110000011000111101011001010010010111010001001101010010110011000000111000110001001000100
190,1.3736842105263158,1.4684210526315788,1.3789473684210527,2.6842105263157894,2.8105263157894735,2.8105263157894735,2.8105263157894735,1111111011110111010000000001100001101010100000001100111100010101101000010010000110100111001011110001010100011001011100101100100010011010100011001010100101001001100100000010010001010110010011,0000100111110110110001100111111010100101111100100111111001001100111101100000101000111111010100110000011000111101011001010010010111010001001101010010110011000000111000110001001000100010101111
199,1.3718592964824121,1.4623115577889447,1.3693467336683418,2.7236180904522613,2.7738693467336684,2.7738693467336684,2.7738693467336684,1111111011110111010000000001100001101010100000001100111100010101101000010010000110100111001011110001010100011001011100101100100010011010100011001010100101001001100100000010010001010110010011000111010,0000100111110110110001100111111010100101111100100111111001001100111101100000101000111111010100110000011000111101011001010010010111010001001101010010110011000000111000110001001000100010101111011010010
208,1.3701923076923077,1.4855769230769231,1.3774038461538463,2.6923076923076925,2.7115384615384617,2.7115384615384617,2.7115384615384617,1111111011110111010000000001100001101010100000001100111100010101101000010010000110100111001011110001010100011001011100101100100010011010100011001010100101001001100100000010010001010110010011000111010001010110,0000100111110110110001100111111010100101111100100111111001001100111101100000101000111111010100110000011000111101011001010010010111010001001101010010110011000000111000110001001000100010101111011010010100000110
217,1.368663594470046,1.4516129032258065,1.368663594470046,2.6635944700460827,2.7419354838709675,2.7419354838709675,2.7419354838709675,1111111011110111010000000001100001101010100000001100111100010101101000010010000110100111001011110001010100011001011100101100100010011010100011001010100101001001100100000010010001010110010011000111010001010110101001110,0000100111110110110001100111111010100101111100100111111001001100111101100000101000111111010100110000011000111101011001010010010111010001001101010010110011000000111000110001001000100010101111011010010100000110011110100
226,1.3672566371681416,1.4469026548672566,1.3761061946902655,2.6371681415929205,2.743362831858407,2.743362831858407,2.743362831858407,1111111011110111010000000001100001101010100000001100111100010101101000010010000110100111001011110001010100011001011100101100100010011010100011001010100101001001100100000010010001010110010011000111010001010110101001110000010011,0000100111110110110001100111111010100101111100100111111001001100111101100000101000111111010100110000011000111101011001010010010111010001001101010010110011000000111000110001001000100010101111011010010100000110011110100110000010
235,1.3914893617021276,1.4553191489361703,1.3680851063829786,2.6808510638297873,2.7404255319148936,2.7404255319148936,2.7404255319148936,1111111011110111010000000001100001101010100000001100111100010101101000010010000110100111001011110001010100011001011100101100100010011010100011001010100101001001100100000010010001010110010011000111010001010110101001110000010011000111000,0000100111110110110001100111111010100101111100100111111001001100111101100000101000111111010100110000011000111101011001010010010111010001001101010010110011000000111000110001001000100010101111011010010100000110011110100110000010001110001
244,1.3729508196721312,1.459016393442623,1.375,2.69672131147541,2.7254098360655736,2.7254098360655736,2.7254098360655736,1111111011110111010000000001100001101010100000001100111100010101101000010010000110100111001011110001010100011001011100101100100010011010100011001010100101001001100100000010010001010110010011000111010001010110101001110000010011000111000010001000,0000100111110110110001100111111010100101111100100111111001001100111101100000101000111111010100110000011000111101011001010010010111010001001101010010110011000000111000110001001000100010101111011010010100000110011110100110000010001110001110101101
253,1.407114624505929,1.4624505928853755,1.3537549407114624,2.7114624505928853,2.739130434782609,2.739130434782609,2.739130434782609,1111111011110111010000000001100001101010100000001100111100010101101000010010000110100111001011110001010100011001011100101100100010011010100011001010100101001001100100000010010001010110010011000111010001010110101001110000010011000111000010001000011110101,0000100111110110110001100111111010100101111100100111111001001100111101100000101000111111010100110000011000111101011001010010010111010001001101010010110011000000111000110001001000100010101111011010010100000110011110100110000010001110001110101101010110111
262,1.3854961832061068,1.4389312977099236,1.3740458015267176,2.6717557251908395,2.698473282442748,2.698473282442748,2.698473282442748,1111111011110111010000000001100001101010100000001100111100010101101000010010000110100111001011110001010100011001011100101100100010011010100011001010100101001001100100000010010001010110010011000111010001010110101001110000010011000111000010001000011110101101001101,0000100111110110110001100111111010100101111100100111111001001100111101100000101000111111010100110000011000111101011001010010010111010001001101010010110011000000111000110001001000100010101111011010010100000110011110100110000010001110001110101101010110111101000101
271,1.3911439114391144,1.4428044280442804,1.3800738007380073,2.6346863468634685,2.7121771217712176,2.7121771217712176,2.7121771217712176,1111111011110111010000000001100001101010100000001100111100010101101000010010000110100111001011110001010100011001011100101100100010011010100011001010100101001001100100000010010001010110010011000111010001010110101001110000010011000111000010001000011110101101001101111010100,0000100111110110110001100111111010100101111100100111111001001100111101100000101000111111010100110000011000111101011001010010010111010001001101010010110011000000111000110001001000100010101111011010010100000110011110100110000010001110001110101101010110111101000101111110001
280,1.4214285714285715,1.4214285714285715,1.3607142857142858,2.5,2.675,2.675,2.675,1111111011110111010000000001100001101010100000001100111100010101101000010010000110100111001011110001010100011001011100101100100010011010100011001010100101001001100100000010010001010110010011000111010001010110101001110000010011000111000010001000011110101101001101111010100001111000,0000100111110110110001100111111010100101111100100111111001001100111101100000101000111111010100110000011000111101011001010010010111010001001101010010110011000000111000110001001000100010101111011010010100000110011110100110000010001110001110101101010110111101000101111110001111111100
289,1.4013840830449826,1.42560553633218,1.3719723183391004,2.519031141868512,2.6816608996539792,2.6816608996539792,2.6816608996539792,1111111011110111010000000001100001101010100000001100111100010101101000010010000110100111001011110001010100011001011100101100100010011010100011001010100101001001100100000010010001010110010011000111010001010110101001110000010011000111000010001000011110101101001101111010100001111000010100011,0000100111110110110001100111111010100101111100100111111001001100111101100000101000111111010100110000011000111101011001010010010111010001001101010010110011000000111000110001001000100010101111011010010100000110011110100110000010001110001110101101010110111101000101111110001111111100101100110
