soybean,100.00,11.83,16.91,21.71,15.83,11.43,13.67,13.77,16.67,19.57,18.12,17.39,17.39,18.12,19.57,18.84,18.98,18.84
paramecium,11.83,100.00,15.69,13.54,9.00,14.29,19.57,13.40,18.56,15.46,15.46,19.59,18.56,17.53,17.53,17.53,14.43,16.49
Drosophila,16.91,15.69,100.00,18.66,19.86,14.86,16.79,13.57,22.14,17.14,20.00,17.14,17.14,17.86,15.71,15.71,16.43,15.71
earthworm,21.71,13.54,18.66,100.00,23.36,16.91,19.08,20.15,23.13,22.39,22.39,23.88,23.13,22.39,22.39,22.39,22.39,23.13
humanNeu,15.83,9.00,19.86,23.36,100.00,15.54,21.43,20.14,27.78,25.00,23.61,21.53,21.53,22.92,20.83,21.53,20.83,21.53
humanMyo,11.43,14.29,14.86,16.91,15.54,100.00,26.76,23.97,26.03,23.29,29.45,24.66,24.66,26.03,26.03,26.71,23.45,25.34
humanAlp,13.67,19.57,16.79,19.08,21.43,26.76,100.00,35.00,39.29,37.86,38.57,42.86,42.86,40.00,40.71,39.29,42.45,38.57
zebrafish,13.77,13.40,13.57,20.15,20.14,23.97,35.00,100.00,56.46,53.06,50.00,51.70,51.70,51.02,47.95,46.26,46.90,51.37
chicken,16.67,18.56,22.14,23.13,27.78,26.03,39.29,56.46,100.00,74.83,71.23,69.39,69.39,71.43,67.12,64.63,63.45,69.18
humanEps,19.57,15.46,17.14,22.39,25.00,23.29,37.86,53.06,74.83,100.00,74.66,75.51,75.51,76.87,72.60,69.39,71.03,73.29
platypus,18.12,15.46,20.00,22.39,23.61,29.45,38.57,50.00,71.23,74.66,100.00,76.03,76.71,75.34,78.77,75.34,73.10,76.03
humanBet,17.39,19.59,17.14,23.88,21.53,24.66,42.86,51.70,69.39,75.51,76.03,100.00,99.32,89.80,85.62,82.31,83.45,84.93
chimpanzee,17.39,18.56,17.14,23.13,21.53,24.66,42.86,51.70,69.39,75.51,76.71,99.32,100.00,89.80,86.30,82.99,84.14,85.62
dog,18.12,17.53,17.86,22.39,22.92,26.03,40.00,51.02,71.43,76.87,75.34,89.80,89.80,100.00,82.19,78.91,82.07,84.25
porpoise,19.57,17.53,15.71,22.39,20.83,26.03,40.71,47.95,67.12,72.60,78.77,85.62,86.30,82.19,100.00,93.15,84.83,86.30
whale,18.84,17.53,15.71,22.39,21.53,26.71,39.29,46.26,64.63,69.39,75.34,82.31,82.99,78.91,93.15,100.00,82.76,83.56
cow,18.98,14.43,16.43,22.39,20.83,23.45,42.45,46.90,63.45,71.03,73.10,83.45,84.14,82.07,84.83,82.76,100.00,86.90
hippo,18.84,16.49,15.71,23.13,21.53,25.34,38.57,51.37,69.18,73.29,76.03,84.93,85.62,84.25,86.30,83.56,86.90,100.00
